id_sess;block;trial;dual;lines_first;decision;task;side;coherence;mu;meanTilt;sdTilt;tOn;tOff;rr;acc;tResp;id;seq;signed_mu;signed_coherence;session;id_session;s;sign_s
01zj01;1;1;0;1;1;orientation;-1;NA;9.8106;-8.377;15.0393;1131685.473;1131685.778;0;1;0.1818;1;1;-9.8106;NA;1;1_1.0;-3.2525100694418;-1
01zj01;1;1;0;1;2;motion;-1;0.7772;NA;NA;NA;1131686.491;1131686.911;1;0;0.2173;1;1;NA;-0.7772;1;1_1.0;-5.78272461647643;-1
01zj01;1;2;0;1;1;orientation;-1;NA;10.9888;-10.5783;13.7069;1131689.486;1131689.791;0;1;0.2651;1;1;-10.9888;NA;1;1_1.0;-3.64758906341906;-1
01zj01;1;2;0;1;2;motion;-1;0.4007;NA;NA;NA;1131690.567;1131690.98;1;0;0.1955;1;1;NA;-0.4007;1;1_1.0;-2.78258025717172;-1
01zj01;1;3;0;1;1;orientation;1;NA;8.5804;8.8957;13.8581;1131693.658;1131693.962;1;1;0.2695;1;1;8.5804;NA;1;1_1.0;2.91443762894203;1
01zj01;1;3;0;1;2;motion;-1;0.7401;NA;NA;NA;1131694.743;1131695.147;0;1;0.1729;1;1;NA;-0.7401;1;1_1.0;-5.48709286154893;-1
01zj01;1;4;0;1;1;orientation;1;NA;0.8159;1.5254;15.3832;1131697.585;1131697.887;0;0;0.232;1;1;0.8159;NA;1;1_1.0;0.31081273610851;1
01zj01;1;4;0;1;2;motion;-1;0.6604;NA;NA;NA;1131698.612;1131698.963;0;1;0.2764;1;1;NA;-0.6604;1;1_1.0;-4.85200254166424;-1
01zj01;1;5;0;1;1;orientation;1;NA;9.8115;10.8135;15.8409;1131701.694;1131701.996;1;1;0.3636;1;1;9.8115;NA;1;1_1.0;3.32725527406629;1
01zj01;1;5;0;1;2;motion;-1;0.4852;NA;NA;NA;1131702.949;1131703.299;0;1;0.4044;1;1;NA;-0.4852;1;1_1.0;-3.45591942944595;-1
01zj01;1;6;0;1;1;orientation;1;NA;11.6238;12.4026;16.309;1131705.68;1131705.983;1;1;0.2808;1;1;11.6238;NA;1;1_1.0;3.93496335485477;1
01zj01;1;6;0;1;2;motion;1;0.6824;NA;NA;NA;1131706.788;1131707.136;1;1;0.2003;1;1;NA;0.6824;1;1_1.0;5.84811391431019;1
01zj01;1;7;0;1;1;orientation;-1;NA;8.3889;-7.0372;14.0371;1131709.855;1131710.157;0;1;0.202;1;1;-8.3889;NA;1;1_1.0;-2.7757796283134;-1
01zj01;1;7;0;1;2;motion;1;0.4807;NA;NA;NA;1131710.87;1131711.218;1;1;0.3415;1;1;NA;0.4807;1;1_1.0;4.24086526285797;1
01zj01;1;8;0;1;1;orientation;1;NA;2.661;2.2895;15.0643;1131713.882;1131714.184;0;0;0.1435;1;1;2.661;NA;1;1_1.0;0.929519451256571;1
01zj01;1;8;0;1;2;motion;1;0.6757;NA;NA;NA;1131714.837;1131715.185;1;1;0.343;1;1;NA;0.6757;1;1_1.0;5.79472489118312;1
01zj01;1;9;0;1;1;orientation;1;NA;5.8415;9.3743;16.6165;1131717.99;1131718.292;1;1;0.1955;1;1;5.8415;NA;1;1_1.0;1.99601812749548;1
01zj01;1;9;0;1;2;motion;-1;0.7369;NA;NA;NA;1131719.028;1131719.379;0;1;0.2285;1;1;NA;-0.7369;1;1_1.0;-5.46159362662257;-1
01zj01;1;10;0;1;1;orientation;-1;NA;3.6762;-2.9783;15.1954;1131721.997;1131722.299;0;1;0.1889;1;1;-3.6762;NA;1;1_1.0;-1.19549718482619;-1
01zj01;1;10;0;1;2;motion;1;0.4244;NA;NA;NA;1131722.996;1131723.345;1;1;0.4543;1;1;NA;0.4244;1;1_1.0;3.7922380983723;1
01zj01;1;11;0;1;1;orientation;1;NA;1.2676;0.9579;14.9216;1131725.897;1131726.202;0;0;0.3497;1;1;1.2676;NA;1;1_1.0;0.462278685505496;1
01zj01;1;11;0;1;2;motion;1;0.3089;NA;NA;NA;1131727.063;1131727.474;1;1;0.2934;1;1;NA;0.3089;1;1_1.0;2.87187508774894;1
01zj01;1;12;0;1;1;orientation;-1;NA;4.0526;-3.9444;15.2977;1131729.686;1131729.988;0;1;0.2761;1;1;-4.0526;NA;1;1_1.0;-1.3217132205867;-1
01zj01;1;12;0;1;2;motion;1;0.4648;NA;NA;NA;1131730.756;1131731.103;1;1;0.3769;1;1;NA;0.4648;1;1_1.0;4.11416593931761;1
01zj01;1;13;0;1;1;orientation;-1;NA;3.7346;-3.4886;16.5789;1131733.978;1131734.282;0;1;0.5259;1;1;-3.7346;NA;1;1_1.0;-1.21508011917373;-1
01zj01;1;13;0;1;2;motion;1;0.7546;NA;NA;NA;1131735.333;1131735.681;1;1;0.3105;1;1;NA;0.7546;1;1_1.0;6.42344040233623;1
01zj01;1;14;0;1;1;orientation;1;NA;5.0814;5.5926;14.2213;1131738.599;1131738.901;1;1;0.4991;1;1;5.0814;NA;1;1_1.0;1.741138189181;1
01zj01;1;14;0;1;2;motion;1;0.7399;NA;NA;NA;1131739.892;1131740.245;1;1;0.3231;1;1;NA;0.7399;1;1_1.0;6.30630329189325;1
01zj01;1;15;0;1;1;orientation;-1;NA;3.0968;-4.3176;15.2644;1131742.732;1131743.034;0;1;0.2536;1;1;-3.0968;NA;1;1_1.0;-1.00121033275487;-1
01zj01;1;15;0;1;2;motion;1;0.1056;NA;NA;NA;1131743.781;1131744.131;1;1;0.3889;1;1;NA;0.1056;1;1_1.0;1.25187681883354;1
01zj01;1;16;0;1;1;orientation;-1;NA;3.4688;-3.0406;15.132;1131746.777;1131747.08;0;1;0.2393;1;1;-3.4688;NA;1;1_1.0;-1.12595094195495;-1
01zj01;1;16;0;1;2;motion;1;0.6423;NA;NA;NA;1131747.828;1131748.178;1;1;0.3423;1;1;NA;0.6423;1;1_1.0;5.52857662663923;1
01zj01;1;17;0;1;1;orientation;1;NA;1.1845;0.0885;14.0653;1131750.932;1131751.234;0;0;0.2934;1;1;1.1845;NA;1;1_1.0;0.434413242966445;1
01zj01;1;17;0;1;2;motion;1;0.7564;NA;NA;NA;1131752.068;1131752.416;1;1;0.2312;1;1;NA;0.7564;1;1_1.0;6.4377837219823;1
01zj01;1;18;0;1;1;orientation;-1;NA;2.0542;-2.6077;15.2071;1131755.104;1131755.406;0;1;0.2818;1;1;-2.0542;NA;1;1_1.0;-0.651601302776347;-1
01zj01;1;18;0;1;2;motion;1;0.6227;NA;NA;NA;1131756.164;1131756.514;1;1;0.294;1;1;NA;0.6227;1;1_1.0;5.37239381271526;1
01zj01;1;19;0;1;1;orientation;-1;NA;10.5558;-9.4115;15.7394;1131759.149;1131759.451;0;1;0.156;1;1;-10.5558;NA;1;1_1.0;-3.50239367690391;-1
01zj01;1;19;0;1;2;motion;1;0.861;NA;NA;NA;1131760.118;1131760.466;1;1;0.214;1;1;NA;0.861;1;1_1.0;7.27128996363774;1
01zj01;1;20;0;1;1;orientation;-1;NA;5.139;-4.7696;15.2307;1131763.051;1131763.353;0;1;0.1422;1;1;-5.139;NA;1;1_1.0;-1.68600945132588;-1
01zj01;1;20;0;1;2;motion;1;0.1814;NA;NA;NA;1131763.989;1131764.334;1;1;0.2012;1;1;NA;0.1814;1;1_1.0;1.85588994615173;1
01zj01;1;21;0;1;1;orientation;1;NA;7.8689;7.8753;16.37;1131766.783;1131767.085;1;1;0.2028;1;1;7.8689;NA;1;1_1.0;2.67585444763595;1
01zj01;1;21;0;1;2;motion;-1;0.9115;NA;NA;NA;1131767.796;1131768.146;0;1;0.277;1;1;NA;-0.9115;1;1_1.0;-6.85289563229217;-1
01zj01;1;22;0;1;1;orientation;-1;NA;4.0846;-1.2734;14.3319;1131770.731;1131771.033;0;1;0.1911;1;1;-4.0846;NA;1;1_1.0;-1.33244359557166;-1
01zj01;1;22;0;1;2;motion;1;0.9118;NA;NA;NA;1131771.717;1131772.065;1;1;0.2784;1;1;NA;0.9118;1;1_1.0;7.67609031809373;1
01zj01;1;23;0;1;1;orientation;-1;NA;6.2166;-6.4224;14.7264;1131774.674;1131774.979;0;1;0.2923;1;1;-6.2166;NA;1;1_1.0;-2.04735482894419;-1
01zj01;1;23;0;1;2;motion;1;0.8316;NA;NA;NA;1131775.786;1131776.204;1;1;0.1721;1;1;NA;0.8316;1;1_1.0;7.0370157427518;1
01zj01;1;24;0;1;1;orientation;1;NA;11.4027;11.1922;15.0765;1131778.784;1131779.088;1;1;0.2159;1;1;11.4027;NA;1;1_1.0;3.86082317019311;1
01zj01;1;24;0;1;2;motion;-1;0.3012;NA;NA;NA;1131779.849;1131780.257;0;1;0.1987;1;1;NA;-0.3012;1;1_1.0;-1.98971342118016;-1
01zj01;1;25;0;1;1;orientation;-1;NA;11.757;-10.6671;14.1617;1131782.66;1131782.966;0;1;0.1622;1;1;-11.757;NA;1;1_1.0;-3.9051851279016;-1
01zj01;1;25;0;1;2;motion;1;0.8596;NA;NA;NA;1131783.623;1131784.038;1;1;0.2262;1;1;NA;0.8596;1;1_1.0;7.26013404835746;1
01zj01;1;26;0;1;1;orientation;1;NA;1.5981;0.1193;15.241;1131786.551;1131786.855;0;0;0.3049;1;1;1.5981;NA;1;1_1.0;0.573103339646971;1
01zj01;1;26;0;1;2;motion;-1;0.0793;NA;NA;NA;1131787.671;1131788.087;1;0;0.3681;1;1;NA;-0.0793;1;1_1.0;-0.221500849255286;-1
01zj01;1;27;0;1;1;orientation;1;NA;7.1323;6.2777;14.6921;1131790.628;1131790.932;1;1;0.2599;1;1;7.1323;NA;1;1_1.0;2.42885462845105;1
01zj01;1;27;0;1;2;motion;1;0.2477;NA;NA;NA;1131791.753;1131792.171;1;1;0.3011;1;1;NA;0.2477;1;1_1.0;2.38420221978228;1
01zj01;1;28;0;1;1;orientation;-1;NA;9.35;-11.2033;14.2323;1131794.393;1131794.698;0;1;0.2854;1;1;-9.35;NA;1;1_1.0;-3.09805973450212;-1
01zj01;1;28;0;1;2;motion;1;0.5043;NA;NA;NA;1131795.495;1131795.904;1;1;0.2318;1;1;NA;0.5043;1;1_1.0;4.42892212043989;1
01zj01;1;29;0;1;1;orientation;1;NA;11.7966;11.0919;14.2731;1131798.342;1131798.648;1;1;0.2556;1;1;11.7966;NA;1;1_1.0;3.99290737977352;1
01zj01;1;29;0;1;2;motion;-1;0.3969;NA;NA;NA;1131799.418;1131799.825;0;1;0.1667;1;1;NA;-0.3969;1;1_1.0;-2.75229991569666;-1
01zj01;1;30;0;1;1;orientation;1;NA;0.9735;1.1241;15.322;1131802.472;1131802.774;0;0;0.3702;1;1;0.9735;NA;1;1_1.0;0.363659832909407;1
01zj01;1;30;0;1;2;motion;-1;0.7412;NA;NA;NA;1131803.652;1131803.999;0;1;0.3122;1;1;NA;-0.7412;1;1_1.0;-5.49585822355487;-1
01zj01;1;31;0;1;1;orientation;-1;NA;4.0455;-2.5774;16.3672;1131806.614;1131806.916;0;1;0.1791;1;1;-4.0455;NA;1;1_1.0;-1.31933241863692;-1
01zj01;1;31;0;1;2;motion;-1;0.0113;NA;NA;NA;1131807.604;1131807.958;0;1;0.4498;1;1;NA;-0.0113;1;1_1.0;0.320357892929896;1
01zj01;1;32;0;1;1;orientation;1;NA;0.3665;0.4192;16.113;1131810.525;1131810.828;0;0;0.4439;1;1;0.3665;NA;1;1_1.0;0.160118032413567;1
01zj01;1;32;0;1;2;motion;1;0.1879;NA;NA;NA;1131811.798;1131812.147;1;1;0.7092;1;1;NA;0.1879;1;1_1.0;1.9076852670959;1
01zj01;1;33;0;1;1;orientation;1;NA;2.2425;3.453;16.2237;1131815.239;1131815.541;1;1;0.5152;1;1;2.2425;NA;1;1_1.0;0.789186265906475;1
01zj01;1;33;0;1;2;motion;-1;0.7554;NA;NA;NA;1131816.565;1131816.913;0;1;0.4547;1;1;NA;-0.7554;1;1_1.0;-5.6090110785406;-1
01zj01;1;34;0;1;1;orientation;-1;NA;1.6328;-0.6032;14.4582;1131819.481;1131819.785;0;1;0.6701;1;1;-1.6328;NA;1;1_1.0;-0.510295677193239;-1
01zj01;1;34;0;1;2;motion;-1;0.1383;NA;NA;NA;1131820.969;1131821.387;0;1;0.4452;1;1;NA;-0.1383;1;1_1.0;-0.691642993210076;-1
01zj01;1;35;0;1;1;orientation;-1;NA;1.2811;-1.0343;13.9107;1131823.797;1131824.101;1;0;0.5302;1;1;-1.2811;NA;1;1_1.0;-0.392362149624233;-1
01zj01;1;35;0;1;2;motion;1;0.6852;NA;NA;NA;1131825.113;1131825.517;1;1;0.3144;1;1;NA;0.6852;1;1_1.0;5.87042574487076;1
01zj01;1;36;0;1;1;orientation;-1;NA;5.0072;-4.9527;14.4491;1131827.916;1131828.218;0;1;0.3813;1;1;-5.0072;NA;1;1_1.0;-1.6418137193566;-1
01zj01;1;36;0;1;2;motion;1;0.228;NA;NA;NA;1131829.108;1131829.457;1;1;0.4389;1;1;NA;0.228;1;1_1.0;2.22722255476686;1
01zj01;1;37;0;1;1;orientation;1;NA;3.3123;2.6344;14.7149;1131832.019;1131832.321;1;1;0.5028;1;1;3.3123;NA;1;1_1.0;1.14791611462221;1
01zj01;1;37;0;1;2;motion;-1;0.717;NA;NA;NA;1131833.316;1131833.663;0;1;0.249;1;1;NA;-0.717;1;1_1.0;-5.30302025942426;-1
01zj01;1;38;0;1;1;orientation;1;NA;5.1887;3.6563;14.199;1131836.317;1131836.619;1;1;0.541;1;1;5.1887;NA;1;1_1.0;1.77711847780242;1
01zj01;1;38;0;1;2;motion;1;0.4311;NA;NA;NA;1131837.684;1131838.031;1;1;0.3288;1;1;NA;0.4311;1;1_1.0;3.84562712149937;1
01zj01;1;39;0;1;1;orientation;1;NA;9.0152;8.8442;16.2755;1131840.481;1131840.783;1;1;0.2968;1;1;9.0152;NA;1;1_1.0;3.06023659905008;1
01zj01;1;39;0;1;2;motion;1;0.2126;NA;NA;NA;1131841.556;1131841.906;1;1;0.3575;1;1;NA;0.2126;1;1_1.0;2.10450748668375;1
01zj01;1;40;0;1;1;orientation;-1;NA;11.3374;-12.1171;13.8386;1131844.869;1131845.171;0;1;0.2447;1;1;-11.3374;NA;1;1_1.0;-3.7644830859114;-1
01zj01;1;40;0;1;2;motion;-1;0.8576;NA;NA;NA;1131845.94;1131846.289;0;1;0.4065;1;1;NA;-0.8576;1;1_1.0;-6.42339289400127;-1
01zj01;1;41;0;1;1;orientation;-1;NA;3.8352;-3.7691;16.7368;1131848.767;1131849.069;0;1;0.4588;1;1;-3.8352;NA;1;1_1.0;-1.24881373553267;-1
01zj01;1;41;0;1;2;motion;1;0.0654;NA;NA;NA;1131850.036;1131850.389;1;1;0.3706;1;1;NA;0.0654;1;1_1.0;0.931542680071122;1
01zj01;1;42;0;1;1;orientation;-1;NA;11.4901;-9.9735;15.0534;1131853.381;1131853.683;0;1;0.2128;1;1;-11.4901;NA;1;1_1.0;-3.81568709404272;-1
01zj01;1;42;0;1;2;motion;-1;0.5195;NA;NA;NA;1131854.404;1131854.755;0;1;0.3241;1;1;NA;-0.5195;1;1_1.0;-3.72923935381289;-1
01zj01;1;43;0;1;1;orientation;-1;NA;11.989;-10.1242;14.73;1131857.117;1131857.419;0;1;0.2048;1;1;-11.989;NA;1;1_1.0;-3.98298034654252;-1
01zj01;1;43;0;1;2;motion;1;0.1216;NA;NA;NA;1131858.132;1131858.478;1;1;0.5375;1;1;NA;0.1216;1;1_1.0;1.37937299346535;1
01zj01;1;44;0;1;1;orientation;1;NA;7.9153;6.2028;16.9966;1131861.327;1131861.629;1;1;0.3468;1;1;7.9153;NA;1;1_1.0;2.69141349136413;1
01zj01;1;44;0;1;2;motion;-1;0.1424;NA;NA;NA;1131862.484;1131862.838;1;0;0.7372;1;1;NA;-0.1424;1;1_1.0;-0.724313887959476;-1
01zj01;1;45;0;1;1;orientation;1;NA;3.3231;4.5053;15.7912;1131865.896;1131866.2;1;1;0.2712;1;1;3.3231;NA;1;1_1.0;1.15153761617963;1
01zj01;1;45;0;1;2;motion;-1;0.0302;NA;NA;NA;1131867;1131867.413;0;1;0.6911;1;1;NA;-0.0302;1;1_1.0;0.169753036646073;1
01zj01;1;46;0;1;1;orientation;1;NA;10.622;12.1791;16.8501;1131870.709;1131871.011;1;1;0.2285;1;1;10.622;NA;1;1_1.0;3.59903555298207;1
01zj01;1;46;0;1;2;motion;1;0.0359;NA;NA;NA;1131871.78;1131872.127;1;1;0.4241;1;1;NA;0.0359;1;1_1.0;0.696471608093727;1
01zj01;1;47;0;1;1;orientation;-1;NA;1.2798;-1.6628;15.1206;1131874.448;1131874.75;0;1;0.2978;1;1;-1.2798;NA;1;1_1.0;-0.391926228140469;-1
01zj01;1;47;0;1;2;motion;1;0.4205;NA;NA;NA;1131875.588;1131875.938;1;1;0.3096;1;1;NA;0.4205;1;1_1.0;3.7611609058058;1
01zj01;1;48;0;1;1;orientation;1;NA;6.9207;6.6667;15.0841;1131878.628;1131878.93;1;1;0.5339;1;1;6.9207;NA;1;1_1.0;2.35790002386304;1
01zj01;1;48;0;1;2;motion;-1;0.7652;NA;NA;NA;1131879.988;1131880.338;0;1;0.2941;1;1;NA;-0.7652;1;1_1.0;-5.68710248550258;-1
01zj01;1;49;0;1;1;orientation;1;NA;6.6019;7.9741;14.6415;1131882.744;1131883.046;1;1;0.3372;1;1;6.6019;NA;1;1_1.0;2.25099866307544;1
01zj01;1;49;0;1;2;motion;-1;0.8321;NA;NA;NA;1131883.893;1131884.243;0;1;0.2605;1;1;NA;-0.8321;1;1_1.0;-6.22019586568182;-1
01zj01;1;50;0;1;1;orientation;-1;NA;6.5745;-4.5479;15.0612;1131887.125;1131887.427;0;1;0.3726;1;1;-6.5745;NA;1;1_1.0;-2.16736736666653;-1
01zj01;1;50;0;1;2;motion;-1;0.4017;NA;NA;NA;1131888.325;1131888.687;0;1;0.3445;1;1;NA;-0.4017;1;1_1.0;-2.7905487680862;-1
